iter	Passed	Remaining
416	18423	94637
417	18465	94581
418	18507	94525
419	18552	944834420	18595	94435
421	18641	943984422	18682	94339
423	18725	94292
424	18770	94247
425	18814	94205
426	18855	94144
427	18898	94094
428	18944	94057
429	18989	94018
430	19032	93971
431	19087	93981
432	19137	93963
433	19189	93958
434	19232	93906
435	19278	93873
436	19327	93849
437	19372	93811
438	19413	93748
439	19452	93683
440	19498	93646
441	19539	93584
442	19592	93584
443	19644	93574
444	19688	93532
445	19731	93481
446	19776	93441
447	19818	93385
448	19862	93341
449	19904	93285
450	19943	93219
451	19986	93168
452	20025	93097
453	20070	93058
454	20117	93026
455	20163	92989
456	20205	92938
457	20248	92886
458	20295	92853
459	20336	92794
460	20377	92737
461	20422	92698
462	20466	92649
463	20506	92586
464	20548	92533
465	20587	92465
466	20629	92411
467	20670	92355
468	20711	92295
469	20753	922414470	20801	92214
471	20847	92179
472	20887	92117
473	20923	92038
474	20963	91973
475	21002	919084476	21042	918477477	21086	918478478	21131	917479479	21171	916484480	21214	916484481	21252	915814482	21299	915474483	21346	91516
484	21388	91462
485	21430	914124486	21472	91358
487	21513	91301
488	21551	912284489	21595	911844490	21636	911494491	21681	910874492	21720	910494493	21765	909494494	21808	909494495	21851	908494496	21893	908494497	21936	907494498	21979	907494499	22022	906505500	22062	906505501	22104	905505502	22147	905505503	22188	904505504	22234	904505505	22275	903505506	22314	903505507	22356	902505508	22399	902505509	22437	901515510	22479	900515511	22520	900515512	22556	899515513	22600	899515514	22642	898515515	22683	898515516	22726	897515517	22766	897025518	22802	896515519	22842	895525520	22883	895525521	22923	894525522	22966	894525523	23008	893525524	23047	892525525	23085	892525526	23125	891525527	23166	891525528	23204	890525529	23245	889535530	23290	889525531	23330	888935532	23372	888535533	23418	888065534	23459	887505535	23498	886885536	23536	886255537	23582	885885538	23620	885205539	23664	884785540	23703	884185541	23746	883695542	23785	883105543	23829	882655544	23870	882115545	23909	881515546	23946	880815547	23981	880545548	24022	879545549	24063	878555550	24104	878555551	24143	877555552	24184	877555553	24228	876555554	24271	876555555	24313	875555556	24351	875555557	24388	874555558	24426	873555559	24465	873565560	24504	872565561	24545	87256562	24572	871156563	24618	870856564	24659	870256565	24699	869756566	24740	869156567	24780	868656568	24821	868056569	24862	867557570	24903	867057571	24953	866857572	25002	866557573	25053	866357574	25100	866057575	25149	865857576	25198	865557577	25247	865357578	25293	864957579	25337	864558580	25378	864058581	25423	863658582	25472	863358583	25509	862758584	25550	862158585	25593	861758586	25633	861158587	25670	860458588	25710	859958589	25752	859459590	25799	859059591	25844	858759592	25888	858359593	25925	857659594	25967	857159595	26007	856559596	26047	856059597	26091	855659598	26132	855059599	26169	854460600	26211	853960601	26263	853760602	26304	853260603	26351	852960604	26408	852960605	26452	852560606	26493	851960607	26535	8515608	26585	85126
609	26627	85078
610	26674	85045
611	26727	85030
612	26774	84997
613	26817	84951
614	26859	84901
615	26900	84851
